Vertices,RenderTime
1448172,37.1908
5952708,76.6636
18017172,249.449
1621620,20.5669
4047732,51.7276
14295708,177.457
32206356,424.462
11310588,133.944
27251532,335.604
25329348,336.87
1278900,28.9125
2959740,54.8569
23143140,388.509
36949500,595.197
4456764,76.0607
18031356,296.421
1482300,25.3854
1803060,26.364
3844764,60.0713
18009684,311.771
6747300,113.632
9250164,156.853
4193748,67.2085
3944628,61.5245
9496116,147.662
134532,2.4809
2015676,32.0704
4610844,79.9098
605772,9.9641
6913620,121.421
1328940,24.7309
26244,0.4331
20815956,340.299
866700,15.0794
319788,4.9403
9079020,154.106
405108,9.6848
4781700,76.924
267300,3.192
289332,6.1699
21141540,320.013
3944052,57.5142
6372900,98.285
13415220,202.288
17212068,299.015
5571252,103.353
4356828,71.9673
273780,4.9994
936540,19.5082
2314260,42.82
15876,0.3247
15093540,260.847
2353644,40.7052
10908,0.1874
7443108,127.89
41147820,647.549
15473484,244.78
1229580,18.5858
28578420,457.998
15504300,257.871
4992300,82.2687
2168100,33.0656
24135732,390.558
853740,12.1149
27788508,471.527
3182004,50.0955
2722140,39.3822
2000700,32.0997
3331332,49.291
536796,7.8477
22045500,366.16
1916460,31.0091
7744572,123.183
4582980,72.8215
9482508,158.134
836892,16.2823
1954260,36.2979
124740,2.3832
362340,9.3508
1764,2.1627
21867300,359.996
19776204,315.149
1805076,30.4864
2252412,38.9894
393660,6.5751
421740,7.9069
15288588,249.219
54532764,876.946
1331100,21.3447
37570500,601.21
566820,10.2702
27413316,423.167
1330236,19.9632
2451060,35.6438
396900,4.5462
4852980,84.4516
1314540,24.619
2238084,31.6786
32137236,493.023
1162836,21.568
732780,14.7185
24444828,398.757
3893292,46.3245
1404,0.0502
1605708,18.9215
25821180,419.676
10889100,180.884
12143196,189.929
3809700,52.939
5752620,100.969
27129492,422.6
3458700,57.3033
27609660,420.493
60444,0.8446
12471732,197.942
8652420,131.315
5258628,88.4198
7298100,112.556
81972,1.5069
4432428,80.3208
821700,13.8319
4441284,63.1357
3744900,59.0699
21008988,339.456
5278500,87.9935
1030860,19.646
16923060,282.621
7534476,114.441
723492,9.6945
701316,10.4898
32364,0.4193
248292,10.4504
69300,0.965
3527676,51.5339
40933620,679.002
94500,1.6625
98100,9.9117
7315308,102.256
2811060,50.6887
222156,3.6883
714420,12.8169
23092236,394.605
4629780,83.1209
6027372,103.728
4171500,68.0505
14605380,244.14
5086908,64.7032
12164148,208.669
12769452,207.218
6563700,113.966
6119388,109.42
14189796,243.289
28255500,473.905
4975020,83.1664
2255436,37.1513
1777860,28.3366
9287460,147.612
1908900,30.2268
17987508,292.185
460404,8.7771
12791196,223.628
3882780,51.6041
1671516,29.5541
5791500,102.322
4508460,74.8526
4605300,70.7919
13750236,225.179
21913020,356.836
10314612,167.043
6672204,112.459
3621852,57.5723
6306300,114.321
20365884,359.471
18113004,285.653
901404,12.5215
5072220,88.6885
3938796,63.3123
10908756,184.202
32761476,529.498
12045204,188.573
12724452,184.944
7007364,106.465
19410300,314.54
3702132,55.3804
5372892,90.8667
34169220,556.94
295596,5.1396
2819124,38.8551
11931084,196.496
28429380,468.442
2891700,45.4686
1947348,34.6695
6747300,105.601
3121740,55.9366
6868260,112.395
6512220,108.368
1110564,15.5728
225036,3.914
3543372,61.4502
4054716,73.0798
